Neighbourhood,Property Size,Amenity Score,Customer Preference
Central City,Medium,30.587412587412587,47.62589009164352
Whitney,Large,30.545454545454547,47.795765877957656
East Riverside,Large,27.9625,46.70205479452055
U.S. Naval Base,Large,41.0,49.863013698630134
Milneburg,Small,31.863636363636363,52.54047322540473
Pontchartrain Park,VerySmall,18.8,19.835616438356162
Leonidas,Medium,31.21153846153846,51.73340358271865
Garden District,Small,25.59090909090909,46.1519302615193
East Carrollton,Large,24.106382978723403,54.43893908481492
Old Aurora,Small,30.214285714285715,36.144814090019565
French Quarter,Large,26.185897435897434,44.34492448191078
Gert Town,Large,30.130434782608695,65.20547945205479
West Lake Forest,Large,26.333333333333332,28.995433789954337
Fillmore,Small,29.685714285714287,45.76908023483365
Marlyville - Fontainbleau,Small,31.12280701754386,51.85291997116077
Florida Area,Small,22.8,76.0
Plum Orchard,Large,32.0,49.93150684931506
Seventh Ward,Medium,30.841614906832298,56.662979664766446
Lower Ninth Ward,Large,31.555555555555557,68.85844748858446
New Aurora - English Turn,Small,37.0,46.575342465753415
Bywater,Medium,30.034013605442176,52.8562109775417
Uptown,Large,31.5,54.55330553901131
City Park,Large,32.84615384615385,57.850368809272915
Algiers Point,Small,31.235294117647058,62.2938490464679
Navarre,Small,33.266666666666666,37.077625570776256
Dillard,Small,32.27272727272727,53.499377334993774
Fairgrounds,Small,28.391304347826086,51.36688505062537
St. Bernard Area,Small,26.0,28.972602739726025
Black Pearl,Small,25.85,46.082191780821915
Little Woods,Large,31.08695652173913,48.73138773079213
Behrman,Large,29.333333333333332,41.3013698630137
Audubon,Large,29.408602150537636,53.13595522168213
Read Blvd East,Large,26.166666666666668,43.42465753424657
Broadmoor,Large,32.53488372093023,60.18158649251354
St.  Anthony,Small,31.458333333333332,38.630136986301366
Irish Channel,Large,31.593023255813954,60.2899012424339
Desire Area,Large,28.166666666666668,63.37899543378995
Tall Timbers - Brechtel,Large,33.5,24.904109589041095
Lakeshore - Lake Vista,VeryLarge,23.25,38.630136986301366
Read Blvd West,Large,29.5,10.684931506849315
Milan,Large,32.41836734693877,57.06737489516354
St. Claude,Medium,29.77181208053691,56.71600625172381
Freret,Medium,32.25,62.23972602739726
Touro,Medium,31.71875,61.823630136986296
Holy Cross,Medium,31.97872340425532,57.28359078985718
Gentilly Woods,Large,29.0,48.00842992623814
Bayou St. John,Large,32.77215189873418,60.416160915554016
Marigny,Small,30.601744186046513,50.148932781140495
Tulane - Gravier,Large,32.59836065573771,64.35212216483269
Mcdonogh,Medium,25.541666666666668,51.41552511415525
St. Thomas Dev,Large,31.5,58.6733958183129
Dixon,Large,32.0,0.0
B. W. Cooper,Large,26.0,8.21917808219178
Hollygrove,Large,31.5,60.61643835616438
West End,Small,29.692307692307693,50.537407797681766
Central Business District,Medium,29.374834437086093,39.076839335933954
Gentilly Terrace,Small,30.318181818181817,54.028642590286424
Lake Catherine,Large,30.333333333333332,30.228310502283104
West Riverside,Medium,31.324324324324323,56.69011477230655
Treme - Lafitte,Large,29.802325581395348,52.018955081236065
Mid-City,Medium,32.34657039711191,49.562336185154045
Lakeview,Small,32.86666666666667,57.68036529680365
St. Roch,Medium,31.983050847457626,50.299512421639186
Lake Terrace & Oaks,Large,31.5,6.780821917808219
Pines Village,Small,26.2,22.19178082191781
Village De Lest,Large,33.6,65.80821917808218
Lower Garden District,Medium,29.953333333333333,39.06849315068493
